cell_name,cell_type,cell_type_pooled
X1772072259_C06,IFE-B,IFE-B
X1772072259_C12,IFE-DII,IFE-D
X1772072259_D03,IFE-DII,IFE-D
X1772072259_D10,IFE-DI,IFE-D
X1772072259_D12,IFE-DI,IFE-D
X1772072259_E02,IFE-DII,IFE-D
X1772072259_E05,IFE-DI,IFE-D
X1772072259_E07,IFE-DII,IFE-D
X1772072259_F01,IFE-KI,IFE-K
X1772072259_F02,IFE-KI,IFE-K
X1772072259_F11,IFE-B,IFE-B
X1772072259_F12,IFE-DI,IFE-D
X1772072259_G04,IFE-DII,IFE-D
X1772072259_G06,IFE-DI,IFE-D
X1772072259_G09,IFE-DII,IFE-D
X1772072259_H02,IFE-KI,IFE-K
X1772072261_A05,IFE-B,IFE-B
X1772072261_A07,IFE-B,IFE-B
X1772072261_B12,IFE-DII,IFE-D
X1772072261_C07,IFE-B,IFE-B
X1772072261_C09,IFE-KI,IFE-K
X1772072261_D04,IFE-DI,IFE-D
X1772072261_D08,IFE-KI,IFE-K
X1772072261_E06,IFE-B,IFE-B
X1772072261_E09,IFE-DI,IFE-D
X1772072261_E10,IFE-DI,IFE-D
X1772072261_F01,IFE-DII,IFE-D
X1772072261_F03,IFE-DII,IFE-D
X1772072261_G06,IFE-DII,IFE-D
X1772072261_G09,IFE-DII,IFE-D
X1772072261_H03,IFE-B,IFE-B
X1772072263_A05,IFE-B,IFE-B
X1772072263_B03,IFE-DI,IFE-D
X1772072263_D01,IFE-DI,IFE-D
X1772072263_D04,IFE-B,IFE-B
X1772072263_D06,IFE-DI,IFE-D
X1772072263_G04,IFE-B,IFE-B
X1772072263_G05,IFE-DI,IFE-D
X1772072263_H04,IFE-DII,IFE-D
X1772072275_A10,IFE-DI,IFE-D
X1772072275_A12,IFE-B,IFE-B
X1772072275_B05,IFE-B,IFE-B
X1772072275_C04,IFE-KI,IFE-K
X1772072275_C08,IFE-DII,IFE-D
X1772072275_D08,IFE-DI,IFE-D
X1772072275_E03,IFE-DI,IFE-D
X1772072275_F05,IFE-DI,IFE-D
X1772072275_F08,IFE-DI,IFE-D
X1772072275_H02,IFE-DII,IFE-D
X1772072275_H08,IFE-DI,IFE-D
X1772072276_B05,IFE-DI,IFE-D
X1772072276_B12,IFE-KII,IFE-K
X1772072276_C02,IFE-KI,IFE-K
X1772072276_C08,IFE-DI,IFE-D
X1772072276_D08,IFE-DI,IFE-D
X1772072276_E12,IFE-DII,IFE-D
X1772072276_H01,IFE-KI,IFE-K
X1772072282_A08,IFE-DI,IFE-D
X1772072282_C11,IFE-DI,IFE-D
X1772072282_D05,IFE-DII,IFE-D
X1772072282_D07,IFE-DII,IFE-D
X1772072282_D10,IFE-KI,IFE-K
X1772072282_E09,IFE-B,IFE-B
X1772072282_F02,IFE-KI,IFE-K
X1772072282_F08,IFE-DI,IFE-D
