cell_name,cell_type,cell_type_pooled
X1772067090_F07,IFE-B,IFE-B
X1772067090_F09,IFE-B,IFE-B
X1772067090_F10,IFE-B,IFE-B
X1772067090_F11,IFE-DI,IFE-D
X1772067090_F12,IFE-B,IFE-B
X1772067090_G04,IFE-B,IFE-B
X1772067090_G05,IFE-B,IFE-B
X1772067090_G10,IFE-B,IFE-B
X1772067090_G12,IFE-DI,IFE-D
X1772067090_H02,IFE-B,IFE-B
X1772067090_H04,IFE-B,IFE-B
X1772067090_H05,IFE-B,IFE-B
X1772067090_H06,IFE-B,IFE-B
X1772067090_H10,IFE-B,IFE-B
X1772067090_H11,IFE-B,IFE-B
X1772067090_H12,IFE-B,IFE-B
X1772067095_A01,IFE-DII,IFE-D
X1772067095_A04,IFE-DII,IFE-D
X1772067095_A08,IFE-B,IFE-B
X1772067095_B07,IFE-B,IFE-B
X1772067095_C01,IFE-B,IFE-B
X1772067095_C06,IFE-DI,IFE-D
X1772067095_C09,IFE-DI,IFE-D
X1772067095_D01,IFE-DII,IFE-D
X1772067095_D03,IFE-KI,IFE-K
X1772067095_D06,IFE-DI,IFE-D
X1772067095_D07,IFE-DII,IFE-D
X1772067095_D09,IFE-KI,IFE-K
X1772067095_E05,IFE-DII,IFE-D
X1772067095_E06,IFE-B,IFE-B
X1772067095_G04,IFE-B,IFE-B
X1772067095_G05,IFE-DII,IFE-D
X1772067095_G11,IFE-DI,IFE-D
X1772071025_A01,IFE-DII,IFE-D
X1772071025_A05,IFE-DII,IFE-D
X1772071025_A07,IFE-DII,IFE-D
X1772071025_B06,IFE-DI,IFE-D
X1772071025_B07,IFE-KII,IFE-K
X1772071025_B12,IFE-DI,IFE-D
X1772071025_C03,IFE-KI,IFE-K
X1772071025_C05,IFE-B,IFE-B
